station,pred,datum,temperatur,nederbordsmangd,vindriktning,vindhastighet,lufttryck,daggpunktstemperatur,month,lag_temperatur
Station_1,115.2143761127467,2017-03-19,5.9,10.1,196.95833333333334,3.1291666666666664,998.7666666666668,4.029166666666667,3,1.5
Station_1,103.01795276400325,2017-03-20,5.9,2.3,236.25,5.233333333333333,1000.2624999999999,2.6125000000000003,3,5.9
Station_1,102.98652962658682,2017-03-21,6.5,0,235.04166666666666,3.5583333333333322,1014.2958333333332,1.5833333333333333,3,5.9
Station_1,100.54629083137038,2017-03-22,4,0,214.25,1.6624999999999996,1024.3166666666666,0.20833333333333334,3,6.5
Station_1,108.89100519167543,2017-03-23,4.8,0,262.1666666666667,2.4249999999999994,1030.0625,-0.5291666666666666,3,4
Station_1,106.24250635915426,2017-03-24,6,0,308.25,3.9791666666666665,1026.3375000000003,2.629166666666667,3,4.8
Station_1,102.69568079001462,2017-03-25,5.6,0,264.7083333333333,1.5583333333333333,1025.8,2.7208333333333328,3,6
Station_1,103.83409230774654,2017-03-26,6.6,0,259.125,2.1291666666666664,1022.7125000000002,5.516666666666667,3,5.6
Station_1,100.79901048970679,2017-03-27,5.6,0,243.25,1.6333333333333335,1018.6500000000001,5.066666666666666,3,6.6
Station_1,103.7911503948205,2017-03-28,4.4,0.9,263.125,2.7166666666666663,1016.6874999999999,4.062499999999999,3,5.6
Station_1,106.85336629794847,2017-03-29,7.2,5.1,190.45833333333334,2.875,1020.1375000000002,6.266666666666667,3,4.4
Station_1,96.14434682478077,2017-03-30,11.7,0.5,181.75,2.4666666666666663,1013.875,9.462499999999999,3,7.2
Station_1,82.24653631312258,2017-03-31,10.7,0,202.70833333333334,1.7833333333333332,1011.0375,8.616666666666667,3,11.7
Station_1,76.35412713828941,2017-04-01,9.6,0.1,185.25,1.2958333333333336,1016.0000000000003,7.916666666666667,4,10.7
Station_1,80.80957385763476,2017-04-02,8.2,0,267.9583333333333,2.3583333333333334,1025.3833333333334,4.829166666666667,4,9.6
Station_1,85.52241193570539,2017-04-03,6.7,0.5,173.54166666666666,1.9874999999999998,1025.075,3.7541666666666664,4,8.2
Station_1,90.1766964332853,2017-04-04,7.6,0,274.0416666666667,5.329166666666667,1015.1166666666667,3.470833333333333,4,6.7
Station_1,87.49885028851556,2017-04-05,6.8,0.1,309.5416666666667,4.770833333333333,1016.5333333333332,2.8833333333333333,4,7.6
Station_1,89.13364268688703,2017-04-06,9.3,0,308.6666666666667,4.5125,1013.4124999999999,6.754166666666667,4,6.8
Station_1,81.79988579793697,2017-04-07,8.5,0,287.5416666666667,2.7583333333333333,1019.9,5.775000000000001,4,9.3
Station_1,84.37121776190558,2017-04-08,8.8,0,235.66666666666666,3.0583333333333336,1020.4333333333333,5.250000000000001,4,8.5
Station_1,83.25852195584606,2017-04-09,9.1,0,245.58333333333334,5.854166666666667,1009.0500000000001,4.220833333333334,4,8.8
Station_1,82.44664617794366,2017-04-10,6.8,3.9,286.5,6.4916666666666645,1013.2791666666667,1.0958333333333334,4,9.1
Station_1,89.78057749892982,2017-04-11,8,0.9,256.75,4.908333333333333,1002.7166666666668,5.658333333333332,4,6.8
Station_1,86.22021559444418,2017-04-12,6.9,2.4,280.6666666666667,4.241666666666667,1002.3750000000003,4.583333333333333,4,8
Station_1,89.6665454317049,2017-04-13,6.5,0.3,274.25,4.2,1007.2583333333332,2.416666666666667,4,6.9
Station_1,88.69404752305512,2017-04-14,1.8,15.8,66.29166666666667,3.5333333333333345,1005.0458333333331,0.6583333333333333,4,6.5
Station_1,106.31072536668323,2017-04-15,2.4,0,123.95833333333333,2.4916666666666663,1013.9416666666666,-1.9750000000000003,4,1.8
Station_1,104.08004881097061,2017-04-16,3.2,0,112.45833333333333,3.4625000000000004,1017.2166666666667,-2.0291666666666663,4,2.4
Station_1,101.49323529243709,2017-04-17,2.7,0,94.625,3.3749999999999996,1029.5874999999999,-3.6958333333333333,4,3.2
